LAT,LON,SPEED,DESTINATION,FLAG,SHIPNAME,SHIP_ID,DATETIME,PORT,ship_type,is_parked,Date_Tm_lag1_sec,Dist_mt,Dist_lag1_mt
59.87067,30.2115,6,ST.PETERSBURG,LR,. PRINCE OF WAVES,757619,2016-12-14T10:53:04Z,st_petersburg,Cargo,0,1,3.0864,-364.1952
59.86983,30.21433,27,ST.PETERSBURG,LR,. PRINCE OF WAVES,757619,2016-12-14T10:55:04Z,st_petersburg,Cargo,0,120,1666.656,1663.5696
59.91917,30.01335,112,PLGDY,LR,AALDERDIJK,754856,2016-12-20T08:53:04Z,st_petersburg,Cargo,0,1,57.6128,-6798.3104
59.92161,30.00061,115,PLGDY,LR,AALDERDIJK,754856,2016-12-20T08:55:03Z,st_petersburg,Cargo,0,119,7039.564,6981.9512
59.91868,30.0154,86,ST PETERSBURG VIANOK,LR,AALDERDIJK,754856,2016-12-18T14:33:05Z,st_petersburg,Cargo,0,1,44.2384,-5264.3696
59.91868,30.0154,86,ST PETERSBURG VIANOK,LR,AALDERDIJK,754856,2016-12-18T14:35:03Z,st_petersburg,Cargo,0,118,5220.1312,5175.8928
55.69159,21.13165,19,KLEIPEDA,NL,ADAMAS,270507,2016-12-13T18:51:06Z,klaipeda,Cargo,0,240,2345.664,-3148.128
55.69343,21.13272,42,KLEIPEDA,NL,ADAMAS,270507,2016-12-14T21:39:06Z,klaipeda,Cargo,0,96480,2084431.104,2082085.44
55.73021,21.02118,93,NEW PORT,NL,ADAMAS,270507,2016-12-14T22:15:06Z,klaipeda,Cargo,0,119,5692.8648,-95.6784
55.73073,20.99853,97,NEW PORT,NL,ADAMAS,270507,2016-12-14T22:17:06Z,klaipeda,Cargo,0,120,5987.616,294.7512
59.90572,30.08003,77,ISKENDERUN,PA,ADASTRA,732836,2016-12-20T10:17:04Z,st_petersburg,Cargo,0,0,0,-9545.7208
59.91283,30.04498,84,ISKENDERUN,PA,ADASTRA,732836,2016-12-20T10:25:03Z,st_petersburg,Cargo,0,479,20697.3984,20697.3984
59.90921,30.0621,101,ST.PETERSBURG,PA,ADASTRA,732836,2016-12-15T03:55:04Z,st_petersburg,Cargo,0,1,51.9544,-6130.6192
59.90705,30.07277,104,ST.PETERSBURG,PA,ADASTRA,732836,2016-12-15T03:57:04Z,st_petersburg,Cargo,0,120,6419.712,6367.7576
55.72617,21.08768,85,KLAIPEDA,AG,ADELE,359306,2016-12-15T05:19:06Z,klaipeda,Cargo,0,120,5246.88,370.368
55.7167,21.10772,85,KLAIPEDA,AG,ADELE,359306,2016-12-15T05:25:07Z,klaipeda,Cargo,0,361,15784.364,10537.484
55.7147,21.11265,66,PAPENBUG,AG,ADELE,359306,2016-12-16T03:35:06Z,klaipeda,Cargo,0,119,4040.0976,254.1136
55.72492,21.09487,51,PAPENBUG,AG,ADELE,359306,2016-12-16T03:43:07Z,klaipeda,Cargo,0,481,12618.7464,8578.6488
57.68184,11.82367,139,GAEVLE,GB,ADELINA D,188914,2016-12-15T15:53:08Z,gothenborg,Cargo,0,3,214.5048,-8151.1824
57.679,11.81,141,GAEVLE,GB,ADELINA D,188914,2016-12-15T15:55:06Z,gothenborg,Cargo,0,118,8558.5872,8344.0824
57.675,11.80167,126,GOTHENBORG,GB,ADELINA D,188914,2016-12-15T05:53:10Z,gothenborg,Cargo,0,3,194.4432,-7712.9136
57.67883,11.81283,97,GOTHENBORG,GB,ADELINA D,188914,2016-12-15T05:55:05Z,gothenborg,Cargo,0,115,5738.132,5543.6888
55.72964,21.01896,69,LT KLJ,HK,AFRICAN CENDANA,687849,2016-12-17T08:39:06Z,klaipeda,Cargo,0,120,4259.232,185.184
55.72916,21.0291,92,LT KLJ,HK,AFRICAN CENDANA,687849,2016-12-17T08:41:06Z,klaipeda,Cargo,0,120,5678.976,1419.744
55.72477,20.89478,121,CASABLANSA,BS,AFRICAN GROUSE,3610791,2016-12-19T22:17:05Z,klaipeda,Cargo,0,119,7406.8456,-62.2424
55.72526,20.88114,122,CASABLANSA,BS,AFRICAN GROUSE,3610791,2016-12-19T22:19:15Z,klaipeda,Cargo,0,130,8158.384,751.5384
54.68922,20.20333,1,KALININGRAD,BS,AFRICAN GROUSE,3610791,2016-12-14T10:51:02Z,kalingrad,Cargo,1,120,61.728,0.5144
54.68925,20.20333,1,KALININGRAD,BS,AFRICAN GROUSE,3610791,2016-12-14T10:57:02Z,kalingrad,Cargo,1,360,185.184,123.456
55.11497,19.95943,120,KLAIPDA,BS,AFRICAN GROUSE,3610791,2016-12-16T19:15:03Z,kalingrad,Cargo,0,121,7469.088,61.728
55.73736,20.80092,84,KLAIPDA,BS,AFRICAN GROUSE,3610791,2016-12-17T02:35:06Z,klaipeda,Cargo,0,26403,1140863.069,1133393.981
54.68844,20.21525,1,RU KGD,LR,AFRICAN MAGNOLIA,3711215,2016-12-17T13:27:02Z,kalingrad,Cargo,1,240,123.456,123.456
54.68829,20.21381,12,RU KGD,LR,AFRICAN MAGNOLIA,3711215,2016-12-17T13:31:02Z,kalingrad,Cargo,0,240,1481.472,1358.016
54.36948,18.665,41,GDANSK,DK,AGNETHE ARCTICA,4003834,2016-12-18T10:31:01Z,gdansk,Cargo,0,119,2509.7576,40.6376
54.36469,18.66545,39,GDANSK,DK,AGNETHE ARCTICA,4003834,2016-12-18T10:35:02Z,gdansk,Cargo,0,241,4834.8456,2325.088
